number,value,datetime_start,datetime_complete,duration,params_baggingFraction,params_baggingFreq,params_featureFraction,params_lambdaL1,params_lambdaL2,params_learningRate,params_maxBin,params_maxDepth,params_minDataInLeaf,params_minGainToSplit,params_numLeaves,user_attrs_best_iteration,user_attrs_fit_seconds,user_attrs_test_auc,user_attrs_valid_auc,system_attrs_fixed_params,state
15,0.6891734073374411,2026-05-25 02:30:35.363521,2026-05-25 02:30:40.424748,0 days 00:00:05.061227,0.7035052277455961,5,0.8220050729107085,5.074457293785289e-05,7.415999966747038,0.017688366386102893,255,6,200,0.9839912489794971,63,32,4.958034515380859,0.6979666097443472,0.6891734073374411,,COMPLETE
16,0.6915499563692232,2026-05-25 02:30:40.507504,2026-05-25 02:30:46.931537,0 days 00:00:06.424033,0.7770120816908284,5,0.9622695337165463,0.0008575149195878412,6.303583374805994,0.014763859334921808,255,6,200,0.8699222786773665,63,309,6.312885999679565,0.6965513643216952,0.6915499563692232,,COMPLETE
17,0.6898556530103843,2026-05-25 02:30:47.014542,2026-05-25 02:30:52.604072,0 days 00:00:05.589530,0.8744603138444537,5,0.8558660622140387,7.704067406816195e-05,0.4251963820694598,0.06641121613533153,255,-1,100,0.7702211876189344,31,54,5.471222877502441,0.6983394246396208,0.6898556530103843,,COMPLETE
18,0.6893542065010669,2026-05-25 02:30:52.695908,2026-05-25 02:30:58.198628,0 days 00:00:05.502720,0.7845533761073027,1,0.9374294010118073,0.04922630994190778,0.0002560970914407282,0.02188889377012946,255,6,200,0.6243566827430665,127,173,5.38153076171875,0.6979109236146391,0.6893542065010669,,COMPLETE
19,0.6895608755482268,2026-05-25 02:30:58.293719,2026-05-25 02:31:03.711389,0 days 00:00:05.417670,0.7000918683918691,0,0.8182277971076226,0.2541362319308215,0.0011627263181236615,0.023906051324332555,127,10,200,0.8777037991257599,63,35,5.299890756607056,0.6946238871268063,0.6895608755482268,,COMPLETE
20,0.6897677186080563,2026-05-25 02:31:03.805613,2026-05-25 02:31:10.142775,0 days 00:00:06.337162,0.7323660638513586,5,0.8551704661459223,0.004082834995121028,2.5354969755151782e-05,0.013108502814857337,255,10,100,0.9941007275491501,63,117,6.225125551223755,0.69536364309602,0.6897677186080563,,COMPLETE
21,0.6915492603185452,2026-05-25 02:31:10.235844,2026-05-25 02:31:16.167547,0 days 00:00:05.931703,0.7198704416297107,5,0.9998240482263057,0.7388121887601811,0.07158802969548946,0.014830831719180195,63,4,50,0.7279690742581603,63,394,5.823127508163452,0.6992511914355539,0.6915492603185452,,COMPLETE
22,0.6898992721862092,2026-05-25 02:31:16.257619,2026-05-25 02:31:22.544196,0 days 00:00:06.286577,0.7647102026398324,5,0.9399335215681107,0.0003242078144492264,0.002440093214252436,0.02076042772600298,63,6,50,0.6693156510763356,63,310,6.183331489562988,0.6980431421811432,0.6898992721862092,,COMPLETE
23,0.6901144678541756,2026-05-25 02:31:22.623465,2026-05-25 02:31:27.750757,0 days 00:00:05.127292,0.7007203062092725,5,0.9665710134739812,7.040276776084793,0.05565198570793366,0.04259585025874756,127,4,50,0.8201596449879203,63,141,5.027899503707886,0.6984851760297873,0.6901144678541756,,COMPLETE
24,0.688781646814141,2026-05-25 02:31:27.836391,2026-05-25 02:31:33.655492,0 days 00:00:05.819101,0.805041366292393,5,0.9499494725108373,2.4329573885947116e-05,0.23740372863554146,0.013866988392252278,255,-1,200,0.5165517814591296,63,44,5.722477436065674,0.6984203912356596,0.688781646814141,,COMPLETE
25,0.6906607516280047,2026-05-25 02:31:33.715920,2026-05-25 02:31:39.838020,0 days 00:00:06.122100,0.7245626269315385,5,0.977859887704658,0.021890464470805213,1.7515576206226802,0.017130153404885985,63,10,50,0.9129079575930193,63,149,6.035149097442627,0.6921310258352545,0.6906607516280047,,COMPLETE
